"Country Name","Country Code","Region","IncomeGroup",
"阿鲁巴","ABW","","high非经合组织国家",
"阿富汗","AFG","南亚","low国家",
"安哥拉","AGO","撒哈拉以南非洲","mid收入国家",
"阿尔巴尼亚","ALB","欧洲和中亚","mid收入国家",
"安道尔共和国","AND","","high非经合组织国家",
"阿拉伯联盟国家","ARB","","",
"阿拉伯联合酋长国","ARE","","high非经合组织国家",
"阿根廷","ARG","拉丁美洲&加勒比海地区","mid收入国家",
"亚美尼亚","ARM","欧洲和中亚","mid收入国家",
"美属萨摩亚","ASM","东亚与太平洋","mid收入国家",
"安提瓜和巴布达","ATG","拉丁美洲&加勒比海地区","high非经合组织国家",
"澳大利亚","AUS","","high经合组织国家",
"奥地利","AUT","","high经合组织国家",
"阿塞拜疆","AZE","欧洲和中亚","mid收入国家",
"布隆迪","BDI","撒哈拉以南非洲","low国家",
"比利时","BEL","","high经合组织国家",
"贝宁","BEN","撒哈拉以南非洲","low国家",
"布基纳法索","BFA","撒哈拉以南非洲","low国家",
"孟加拉国","BGD","南亚","low国家",
"保加利亚","BGR","欧洲和中亚","mid收入国家",
"巴林","BHR","","high非经合组织国家",
"巴哈马","BHS","","high非经合组织国家",
"波斯尼亚和黑塞哥维那","BIH","欧洲和中亚","mid收入国家",
"白俄罗斯","BLR","欧洲和中亚","mid收入国家",
"伯利兹","BLZ","拉丁美洲&加勒比海地区","mid收入国家",
"百慕大","BMU","","high非经合组织国家",
"玻利维亚","BOL","拉丁美洲&加勒比海地区","mid收入国家",
"巴西","BRA","拉丁美洲&加勒比海地区","mid收入国家",
"巴巴多斯","BRB","","high非经合组织国家",
"文莱达鲁萨兰国","BRN","","high非经合组织国家",
"不丹","BTN","南亚","mid收入国家",
"博茨瓦纳","BWA","撒哈拉以南非洲","mid收入国家",
"","CAA","","",
"中非共和国","CAF","撒哈拉以南非洲","low国家",
"加拿大","CAN","","high经合组织国家",
"","CEA","","",
"","CEU","","",
"瑞士","CHE","","high经合组织国家",
"海峡群岛","CHI","","high非经合组织国家",
"智利","CHL","拉丁美洲&加勒比海地区","high经合组织国家",
"中国","CHN","东亚与太平洋","mid收入国家",
"科特迪瓦","CIV","撒哈拉以南非洲","mid收入国家",
"","CLA","","",
"","CME","","",
"喀麦隆","CMR","撒哈拉以南非洲","mid收入国家",
"刚果（金）","COD","撒哈拉以南非洲","low国家",
"刚果（布）","COG","撒哈拉以南非洲","mid收入国家",
"哥伦比亚","COL","拉丁美洲&加勒比海地区","mid收入国家",
"科摩罗","COM","撒哈拉以南非洲","low国家",
"佛得角","CPV","撒哈拉以南非洲","mid收入国家",
"哥斯达黎加","CRI","拉丁美洲&加勒比海地区","mid收入国家",
"","CSA","","",
"加勒比小国","CSS","","",
"古巴","CUB","拉丁美洲&加勒比海地区","mid收入国家",
"库拉索","CUW","","high非经合组织国家",
"开曼群岛","CYM","","high非经合组织国家",
"塞浦路斯","CYP","","high非经合组织国家",
"捷克共和国","CZE","","high经合组织国家",
"德国","DEU","","high经合组织国家",
"吉布提","DJI","中东&北非","mid收入国家",
"多米尼克","DMA","拉丁美洲&加勒比海地区","mid收入国家",
"丹麦","DNK","","high经合组织国家",
"多米尼加共和国","DOM","拉丁美洲&加勒比海地区","mid收入国家",
"阿尔及利亚","DZA","中东&北非","mid收入国家",
"东亚与太平洋","EAP","","",
"东亚与太平洋地区（所有收入水平）","EAS","","",
"欧洲和中亚","ECA","","",
"欧洲与中亚地区（所有收入水平）","ECS","","",
"厄瓜多尔","ECU","拉丁美洲&加勒比海地区","mid收入国家",
"阿拉伯埃及共和国","EGY","中东&北非","mid收入国家",
"欧洲货币联盟","EMU","","",
"厄立特里亚","ERI","撒哈拉以南非洲","low国家",
"西班牙","ESP","","high经合组织国家",
"爱沙尼亚","EST","","high经合组织国家",
"埃塞俄比亚","ETH","撒哈拉以南非洲","low国家",
"欧洲联盟","EUU","","",
"芬兰","FIN","","high经合组织国家",
"斐济","FJI","东亚与太平洋","mid收入国家",
"法国","FRA","","high经合组织国家",
"法罗群岛","FRO","","high非经合组织国家",
"密克罗尼西亚联邦","FSM","东亚与太平洋","mid收入国家",
"加蓬","GAB","撒哈拉以南非洲","mid收入国家",
"英国","GBR","","high经合组织国家",
"格鲁吉亚","GEO","欧洲和中亚","mid收入国家",
"加纳","GHA","撒哈拉以南非洲","mid收入国家",
"几内亚","GIN","撒哈拉以南非洲","low国家",
"冈比亚","GMB","撒哈拉以南非洲","low国家",
"几内亚比绍共和国","GNB","撒哈拉以南非洲","low国家",
"赤道几内亚","GNQ","","high非经合组织国家",
"希腊","GRC","","high经合组织国家",
"格林纳达","GRD","拉丁美洲&加勒比海地区","mid收入国家",
"格陵兰","GRL","","high非经合组织国家",
"危地马拉","GTM","拉丁美洲&加勒比海地区","mid收入国家",
"关岛","GUM","","high非经合组织国家",
"圭亚那","GUY","拉丁美洲&加勒比海地区","mid收入国家",
"high国家","HIC","","",
"中国香港特别行政区","HKG","","high非经合组织国家",
"洪都拉斯","HND","拉丁美洲&加勒比海地区","mid收入国家",
"重债穷国 (HIPC)","HPC","","",
"克罗地亚","HRV","","high非经合组织国家",
"海地","HTI","拉丁美洲&加勒比海地区","low国家",
"匈牙利","HUN","","mid收入国家",
"印度尼西亚","IDN","东亚与太平洋","mid收入国家",
"马恩岛","IMN","","high非经合组织国家",
"印度","IND","南亚","mid收入国家",
"未分类国家","INX","","",
"爱尔兰","IRL","","high经合组织国家",
"伊朗伊斯兰共和国 ","IRN","中东&北非","mid收入国家",
"伊拉克","IRQ","中东&北非","mid收入国家",
"冰岛","ISL","","high经合组织国家",
"以色列","ISR","","high经合组织国家",
"意大利","ITA","","high经合组织国家",
"牙买加","JAM","拉丁美洲&加勒比海地区","mid收入国家",
"约旦","JOR","中东&北非","mid收入国家",
"日本","JPN","","high经合组织国家",
"哈萨克斯坦","KAZ","欧洲和中亚","mid收入国家",
"肯尼亚","KEN","撒哈拉以南非洲","low国家",
"吉尔吉斯斯坦","KGZ","欧洲和中亚","low国家",
"柬埔寨","KHM","东亚与太平洋","low国家",
"基里巴斯","KIR","东亚与太平洋","mid收入国家",
"圣基茨和尼维斯","KNA","","high非经合组织国家",
"大韩民国","KOR","","high经合组织国家",
"科索沃","KSV","欧洲和中亚","mid收入国家",
"科威特","KWT","","high非经合组织国家",
"拉丁美洲&加勒比海地区","LAC","","",
"老挝","LAO","东亚与太平洋","mid收入国家",
"黎巴嫩","LBN","中东&北非","mid收入国家",
"利比里亚","LBR","撒哈拉以南非洲","low国家",
"利比亚","LBY","中东&北非","mid收入国家",
"圣卢西亚","LCA","拉丁美洲&加勒比海地区","mid收入国家",
"拉丁美洲与加勒比海地区（所有收入水平）","LCN","","",
"最不发达国家：联合国分类","LDC","","",
"low国家","LIC","","",
"列支敦士登","LIE","","high非经合组织国家",
"斯里兰卡","LKA","南亚","mid收入国家",
"mid收入国家","LMC","","",
"中low国家","LMY","","",
"莱索托","LSO","撒哈拉以南非洲","mid收入国家",
"立陶宛","LTU","欧洲和中亚","high非经合组织国家",
"卢森堡","LUX","","high经合组织国家",
"拉脱维亚","LVA","欧洲和中亚","high非经合组织国家",
"中国澳门特别行政区","MAC","","high非经合组织国家",
"圣马丁（法属）","MAF","","high非经合组织国家",
"摩洛哥","MAR","中东&北非","mid收入国家",
"摩纳哥","MCO","","high非经合组织国家",
"摩尔多瓦","MDA","欧洲和中亚","mid收入国家",
"马达加斯加","MDG","撒哈拉以南非洲","low国家",
"马尔代夫","MDV","南亚","mid收入国家",
"中东与北非地区（所有收入水平）","MEA","","",
"墨西哥","MEX","拉丁美洲&加勒比海地区","mid收入国家",
"马绍尔群岛","MHL","东亚与太平洋","mid收入国家",
"中等收入国家","MIC","","",
"马其顿王国","MKD","欧洲和中亚","mid收入国家",
"马里","MLI","撒哈拉以南非洲","low国家",
"马耳他","MLT","","high非经合组织国家",
"缅甸","MMR","东亚与太平洋","low国家",
"中东&北非","MNA","","",
"黑山","MNE","欧洲和中亚","mid收入国家",
"蒙古","MNG","东亚与太平洋","mid收入国家",
"北马里亚纳群岛","MNP","","high非经合组织国家",
"莫桑比克","MOZ","撒哈拉以南非洲","low国家",
"毛里塔尼亚","MRT","撒哈拉以南非洲","mid收入国家",
"毛里求斯","MUS","撒哈拉以南非洲","mid收入国家",
"马拉维","MWI","撒哈拉以南非洲","low国家",
"马来西亚","MYS","东亚与太平洋","mid收入国家",
"北美","NAC","","",
"纳米比亚","NAM","撒哈拉以南非洲","mid收入国家",
"新喀里多尼亚","NCL","","high非经合组织国家",
"尼日尔","NER","撒哈拉以南非洲","low国家",
"尼日利亚","NGA","撒哈拉以南非洲","mid收入国家",
"尼加拉瓜","NIC","拉丁美洲&加勒比海地区","mid收入国家",
"荷兰","NLD","","high经合组织国家",
"high非经合组织国家","NOC","","",
"挪威","NOR","","high经合组织国家",
"尼泊尔","NPL","南亚","low国家",
"新西兰","NZL","","high经合组织国家",
"high经合组织国家","OEC","","",
"经合组织成员","OED","","",
"阿曼","OMN","","high非经合组织国家",
"其他小国","OSS","","",
"巴基斯坦","PAK","南亚","mid收入国家",
"巴拿马","PAN","拉丁美洲&加勒比海地区","mid收入国家",
"秘鲁","PER","拉丁美洲&加勒比海地区","mid收入国家",
"菲律宾","PHL","东亚与太平洋","mid收入国家",
"帕劳","PLW","东亚与太平洋","mid收入国家",
"巴布亚新几内亚","PNG","东亚与太平洋","mid收入国家",
"波兰","POL","","high经合组织国家",
"波多黎各","PRI","","high非经合组织国家",
"朝鲜民主主义人民共和国","PRK","东亚与太平洋","low国家",
"葡萄牙","PRT","","high经合组织国家",
"巴拉圭","PRY","拉丁美洲&加勒比海地区","mid收入国家",
"约旦河西岸和加沙","PSE","中东&北非","mid收入国家",
"太平洋岛国","PSS","","",
"法属波利尼西亚","PYF","","high非经合组织国家",
"卡塔尔","QAT","","high非经合组织国家",
"罗马尼亚","ROU","欧洲和中亚","mid收入国家",
"俄罗斯联邦","RUS","欧洲和中亚","high非经合组织国家",
"卢旺达","RWA","撒哈拉以南非洲","low国家",
"南亚","SAS","","",
"沙特阿拉伯","SAU","","high非经合组织国家",
"苏丹","SDN","撒哈拉以南非洲","mid收入国家",
"塞内加尔","SEN","撒哈拉以南非洲","mid收入国家",
"新加坡","SGP","","high非经合组织国家",
"所罗门群岛","SLB","东亚与太平洋","mid收入国家",
"塞拉利昂","SLE","撒哈拉以南非洲","low国家",
"萨尔瓦多","SLV","拉丁美洲&加勒比海地区","mid收入国家",
"圣马力诺","SMR","","high非经合组织国家",
"索马里","SOM","撒哈拉以南非洲","low国家",
"塞尔维亚","SRB","欧洲和中亚","mid收入国家",
"撒哈拉以南非洲","SSA","","",
"南苏丹","SSD","撒哈拉以南非洲","low国家",
"撒哈拉以南非洲地区（所有收入水平）","SSF","","",
"小国","SST","","",
"圣多美和普林西比","STP","撒哈拉以南非洲","mid收入国家",
"苏里南","SUR","拉丁美洲&加勒比海地区","mid收入国家",
"斯洛伐克共和国","SVK","","high经合组织国家",
"斯洛文尼亚","SVN","","high经合组织国家",
"瑞典","SWE","","high经合组织国家",
"斯威士兰","SWZ","撒哈拉以南非洲","mid收入国家",
"圣马丁(荷属)","SXM","","high非经合组织国家",
"塞舌尔","SYC","撒哈拉以南非洲","mid收入国家",
"阿拉伯叙利亚共和国","SYR","中东&北非","mid收入国家",
"特克斯科斯群岛","TCA","","high非经合组织国家",
"乍得","TCD","撒哈拉以南非洲","low国家",
"多哥","TGO","撒哈拉以南非洲","low国家",
"泰国","THA","东亚与太平洋","mid收入国家",
"塔吉克斯坦","TJK","欧洲和中亚","low国家",
"土库曼斯坦","TKM","欧洲和中亚","mid收入国家",
"东帝汶","TLS","东亚与太平洋","mid收入国家",
"汤加","TON","东亚与太平洋","mid收入国家",
"特立尼达和多巴哥","TTO","","high非经合组织国家",
"突尼斯","TUN","中东&北非","mid收入国家",
"土耳其","TUR","欧洲和中亚","mid收入国家",
"图瓦卢","TUV","东亚与太平洋","mid收入国家",
"坦桑尼亚","TZA","撒哈拉以南非洲","low国家",
"乌干达","UGA","撒哈拉以南非洲","low国家",
"乌克兰","UKR","欧洲和中亚","mid收入国家",
"mid收入国家","UMC","","",
"乌拉圭","URY","拉丁美洲&加勒比海地区","high非经合组织国家",
"美国","USA","","high经合组织国家",
"乌兹别克斯坦","UZB","欧洲和中亚","mid收入国家",
"圣文森特和格林纳丁斯","VCT","拉丁美洲&加勒比海地区","mid收入国家",
"委内瑞拉玻利瓦尔共和国","VEN","拉丁美洲&加勒比海地区","mid收入国家",
"美属维京群岛","VIR","","high非经合组织国家",
"越南","VNM","东亚与太平洋","mid收入国家",
"瓦努阿图","VUT","东亚与太平洋","mid收入国家",
"世界","WLD","","",
"萨摩亚","WSM","东亚与太平洋","mid收入国家",
"也门共和国","YEM","中东&北非","mid收入国家",
"南非","ZAF","撒哈拉以南非洲","mid收入国家",
"赞比亚","ZMB","撒哈拉以南非洲","mid收入国家",
"津巴布韦","ZWE","撒哈拉以南非洲","low国家",
